,year,month,day,hour,bitcoin
821,2015,2,4,1,49
822,2015,2,4,2,54
823,2015,2,4,3,63
824,2015,2,4,4,47
825,2015,2,4,5,60
826,2015,2,4,6,34
827,2015,2,4,7,48
828,2015,2,4,8,58
829,2015,2,4,9,61
830,2015,2,4,10,20
831,2015,2,4,11,40
832,2015,2,4,12,71
833,2015,2,4,13,45
834,2015,2,4,14,60
835,2015,2,4,15,56
836,2015,2,4,16,50
837,2015,2,4,17,52
838,2015,2,4,18,52
839,2015,2,4,19,42
840,2015,2,4,20,69
841,2015,2,4,21,92
842,2015,2,4,22,46
843,2015,2,4,23,100
844,2015,2,5,0,66
845,2015,2,5,0,60
846,2015,2,5,1,87
847,2015,2,5,2,68
848,2015,2,5,3,45
849,2015,2,5,4,62
850,2015,2,5,5,63
851,2015,2,5,6,52
852,2015,2,5,7,56
853,2015,2,5,8,52
854,2015,2,5,9,64
855,2015,2,5,10,50
856,2015,2,5,11,54
857,2015,2,5,12,54
858,2015,2,5,13,53
859,2015,2,5,14,49
860,2015,2,5,15,50
861,2015,2,5,16,43
862,2015,2,5,17,49
863,2015,2,5,18,59
864,2015,2,5,19,48
865,2015,2,5,20,52
866,2015,2,5,21,41
867,2015,2,5,22,65
868,2015,2,5,23,95
869,2015,2,6,0,59
870,2015,2,6,1,53
871,2015,2,6,2,37
872,2015,2,6,3,45
873,2015,2,6,4,96
874,2015,2,6,5,37
875,2015,2,6,6,64
876,2015,2,6,7,43
877,2015,2,6,8,42
878,2015,2,6,9,59
879,2015,2,6,10,31
880,2015,2,6,11,39
881,2015,2,6,12,41
882,2015,2,6,13,41
883,2015,2,6,14,43
884,2015,2,6,15,51
885,2015,2,6,16,37
886,2015,2,6,17,39
887,2015,2,6,18,58
888,2015,2,6,19,61
889,2015,2,6,20,57
890,2015,2,6,21,77
891,2015,2,6,22,71
892,2015,2,6,23,63
893,2015,2,7,0,79
894,2015,2,7,1,78
895,2015,2,7,2,69
896,2015,2,7,3,65
897,2015,2,7,4,80
898,2015,2,7,5,51
899,2015,2,7,6,79
900,2015,2,7,7,59
901,2015,2,7,8,54
902,2015,2,7,9,44
903,2015,2,7,10,37
904,2015,2,7,11,58
905,2015,2,7,12,44
906,2015,2,7,13,40
907,2015,2,7,14,63
908,2015,2,7,15,44
909,2015,2,7,16,51
910,2015,2,7,17,58
911,2015,2,7,18,84
912,2015,2,7,19,79
913,2015,2,7,20,91
914,2015,2,7,21,79
915,2015,2,7,22,57
916,2015,2,7,23,75
917,2015,2,8,0,73
918,2015,2,8,1,85
919,2015,2,8,2,94
920,2015,2,8,3,43
921,2015,2,8,4,67
922,2015,2,8,5,80
923,2015,2,8,6,64
924,2015,2,8,7,22
925,2015,2,8,8,42
926,2015,2,8,9,51
